Ranking	Artist	Song Title	Year	Group / Solos	
8	Survivor	Burning Heart	1986	Group	
9	Mr. Mister	Kyrie	1986	Group	
10	Robert Palmer	Addicted To Love	1986	Solo	
1	Bangles	Walk Like An Egyptian	1987	Group	
2	Heart	Alone	1987	Group	
3	Gregory Abbott	Shake You Down	1987	Solo	
4	Whitney Houston	I Wanna Dance With Somebody (Who Loves Me)	1987	Solo	
5	Starship	Nothing’s Gonna Stop Us Now	1987	Group	
6	Robbie Nevil	C’est La Vie	1987	Solo	
7	Whitesnake	Here I Go Again	1987	Group	
8	Bruce Hornsby and The Range	The Way It Is	1987	Group	
9	Bob Seger	Shakedown	1987	Solo	
10	Bon Jovi	Livin’ On A Prayer	1987	Solo	
1	George Michael	Faith	1988	Solo	
2	INXS	Need You Tonight	1988	Group	
3	George Harrison	Got My Mind Set On You	1988	Solo	
4	Rick Astley	Never Gonna Give You Up	1988	Solo	
5	Guns N’ Roses	Sweet Child O’ Mine	1988	Group	
6	Whitney Houston	So Emotional	1988	Solo	
7	Belinda Carlisle	Heaven Is A Place On Earth	1988	Solo	
8	Tiffany	Could’ve Been	1988	Solo	
9	Breathe	Hands To Heaven	1988	Group	
10	Steve Winwood	Roll With It	1988	Solo	
1	Chicago	Look Away	1989	Group	
2	Bobby Brown	My Prerogative	1989	Solo	
3	Poison	Every Rose Has Its Thorn	1989	Group	
4	Paula Abdul	Straight Up	1989	Solo	
5	Janet Jackson	Miss You Much	1989	Solo	
6	Paula Abdul	Cold Hearted	1989	Solo	
7	Bette Midler	Wind Beneath My Wings	1989	Solo	
8	Milli Vanilli	Girl You Know Its True	1989	Solo	
9	Will To Power	Baby, I Love Your Way-Freebird	1989	Group	
10	Anita Baker	Giving You The Best That I Got	1989	Solo	
1	Wilson Phillips	Hold On	1990	Solo	
2	Roxette	It Must Have Been Love	1990	Group	
3	Sinead O’Connor	Nothing Compares 2 U	1990	Solo	
4	Bell Biv Devoe	Poison	1990	Group	
5	Madonna	Vogue	1990	Solo	
6	Mariah Carey	Vision Of Love	1990	Solo	
7	Phil Collins	Another Day In Paradise	1990	Solo	
8	En Vogue	Hold On	1990	Group	
9	Billy Idol	Cradle Of Love	1990	Solo	
10	Jon Bon Jovi	Blaze Of Glory	1990	Solo	
1	Bryan Adams	(Everything I Do) I Do It For You	1991	Solo	
2	Color Me Badd	I Wanna Sex You Up	1991	Group	
3	C+C Music Factory	Gonna Make You Sweat	1991	Group	
4	Paula Abdul	Rush Rush	1991	Solo	
5	Timmy T	One More Try	1991	Solo	
6	EMF	Unbelievable	1991	Group	
7	Extreme	More Than Words	1991	Group	
8	Hi-Five	I Like The Way (The Kissing Game)	1991	Group	
9	Surface	The First Time	1991	Group	
10	Amy Grant	Baby, Baby	1991	Solo	
1	Boyz II Men	End Of The Road	1992	Group	
2	Sir Mix A-lot	Baby Got Back	1992	Solo	
3	Kris Kross	Jump	1992	Group	
4	Vanessa Williams	Save The Best For Last	1992	Solo	
5	TLC	Baby-Baby-Baby	1992	Group	
6	Eric Clapton	Tears In Heaven	1992	Solo	
7	En Vogue	My Lovin’ (You’re Never Gonna Get It)	1992	Group	
8	Red Hot Chili Peppers	Under The Bridge	1992	Group	
9	Color Me Badd	All 4 Love	1992	Group	
10	Jon Secada	Just Another Day	1992	Solo	
1	Whitney Houston	I Will Always Love You	1993	Solo	
2	Tag Team	Whoomp! (There It Is)	1993	Group	
3	UB40	Can’t Help Falling In Love	1993	Group	
4	Janet Jackson	That’s The Way Love Goes	1993	Solo	
5	Silk	Freak Me	1993	Group	
6	SWV	Weak	1993	Group	
7	Shai	If I Ever Fall In Love	1993	Group	
8	Mariah Carey	Dreamlover	1993	Solo	
9	Wreckx-N-Effect	Rump Shaker	1993	Group	
10	Snow	Informer	1993	Solo	
1	Ace Of Base	The Sign	1994	Group	
2	All-4-One	I Swear	1994	Group	
3	Boyz II Men	I’ll Make Love To You	1994	Group	
4	Celine Dion	The Power Of Love	1994	Solo	
5	Mariah Carey	Hero	1994	Solo	
6	Lisa Loeb and Nine Stories	Stay (I Missed You)	1994	Group	
7	Toni Braxton	Breathe Again	1994	Solo	
8	Bryan Adams	All For Love	1994	Group	
9	Ace Of Base	All That She Wants	1994	Group	
10	Ace Of Base	Don’t Turn Around	1994	Group	
1	Coolio	Gangsta’s Paradise	1995	Solo	
2	TLC	Waterfalls	1995	Group	
3	TLC	Creep	1995	Group	
4	Seal	Kiss From A Rose	1995	Solo	
5	Boyz II Men	On Bended Knee	1995	Group	
6	Real McCoy	Another Night	1995	Solo	
7	Mariah Carey	Fantasy	1995	Solo	
8	Madonna	Take A Bow	1995	Solo	
9	Monica	Don’t Take It Personal (Just One Of Dem Days)	1995	Solo	
10	Montell Jordan	This Is How We Do It	1995	Solo	
1	Los Del Rio	Macarena (Bayside Boys Mix)	1996	Group	
2	Mariah Carey and Boyz II Men	One Sweet Day	1996	Group	
3	Celine Dion	Because You Loved Me	1996	Solo	
4	Tony Rich Project	Nobody Knows	1996	Solo	
5	Mariah Carey	Always Be My Baby	1996	Solo	
6	Tracy Chapman	Give Me One Reason	1996	Solo	
7	Bone Thugs-N-Harmony	Tha Crossroads	1996	Group	
8	Donna Lewis	I Love You Always Forever	1996	Solo	
9	Toni Braxton	You’re Makin’ Me High / Let It Flow	1996	Solo	
10	Keith Sweat	Twisted	1996	Solo	
1	Elton John	Candle In The Wind 1997	1997	Solo	
2	Jewel	Foolish Games / You Were Meant For Me	1997	Solo	
3	Puff Daddy and Faith Evans	I’ll Be Missing You	1997	Group	
4	Toni Braxton	Un-Break My Heart	1997	Solo	
5	Puff Daddy	Can’t Nobody Hold Me Down	1997	Solo	
6	R. Kelly	I Believe I Can Fly	1997	Solo	
7	En Vogue	Don’t Let Go (Love)	1997	Group	
8	Mark Morrison	Return Of The Mack	1997	Solo	
9	LeAnn Rimes	How Do I Live	1997	Solo	
10	Spice Girls	Wannabe	1997	Group	
1	Next	Too Close	1998	Group	
2	Brandy and Monica	The Boy Is Mine	1998	Group	
3	Shania Twain	You’re Still The One	1998	Solo	
4	Savage Garden	Truly Madly Deeply	1998	Group	
5	LeAnn Rimes	How Do I Live	1998	Solo	
6	Janet	Together Again	1998	Solo	
7	K-Ci and JoJo	All My Life	1998	Group	
8	Elton John	Candle In The Wind 1997	1998	Solo	
9	Usher	Nice & Slow	1998	Solo	
10	Paula Cole	I Don’t Want To Wait	1998	Solo	
1	Cher	Believe	1999	Solo	
2	TLC	No Scrubs	1999	Group	
3	Monica	Angel Of Mine	1999	Solo	
4	Whitney Houston	Heartbreak Hotel	1999	Solo	
5	Britney Spears	…Baby One More Time	1999	Solo	
6	Sixpence None The Richer	Kiss Me	1999	Group	
7	Christina Aguilera	Genie In A Bottle	1999	Solo	
8	Sugar Ray	Every Morning	1999	Group	
9	Deborah Cox	Nobody’s Supposed To Be Here	1999	Solo	
10	Ricky Martin	Livin’ La Vida Loca	1999	Solo	
1	Faith Hill	Breathe	2000	Solo	
2	Santana feat. Rob Thomas	Smooth	2000	Solo	
3	Santana	Maria Maria	2000	Solo	
4	Joe	I Wanna Know	2000	Solo	
5	Vertical Horizon	Everything You Want	2000	Group	
6	Destiny’s Child	Say My Name	2000	Group	
7	Savage Garden	I Knew I Loved You	2000	Group	
8	Lonestar	Amazed	2000	Group	
9	matchbox twenty	Bent	2000	Group	
10	Toni Braxton	He Wasn’t Man Enough	2000	Solo	
1	Lifehouse	Hanging By A Moment	2001	Group	
2	Alicia Keys	Fallin’	2001	Solo	
3	Janet	All For You	2001	Solo	
4	Train	Drops Of Jupiter (Tell Me)	2001	Group	
5	Jennifer Lopez	I’m Real	2001	Solo	
6	matchbox twenty	If You’re Gone	2001	Group	
7	Eve 	Let Me Blow Ya Mind	2001	Solo	
8	Dido	Thank You	2001	Solo	
9	Lenny Kravitz	Again	2001	Solo	
10	Destiny’s Child	Independent Women Part I	2001	Group	
1	Nickelback	How Your Remind Me	2002	Group	
2	Ashanti	Foolish	2002	Solo	
3	Nelly	Hot in Herre	2002	Solo	
4	Nelly	Dilemma	2002	Solo	
5	The Calling	Wherever you Will Go	2002	Group	
6	Vanessa Carlton	A Thousand Miles	2002	Solo	
7	Linkin Park	In the End	2002	Group	
8	Fat Joe feat. Ashanti	What’s Luv?	2002	Solo	
9	Usher	U Got it Bad	2002	Solo	
10	Puddle Of Mudd	Blurry	2002	Group	
1	50 Cent	In Da Club	2003	Solo	
2	R. Kelly	Ignition	2003	Solo	
3	Sean Paul	Get Busy	2003	Solo	
4	Beyonce 	Crazy in Love	2003	Solo	
5	3 Doors Down	When I’m Gone	2003	Group	
6	matchbox twenty	Unwell	2003	Group	
7	Chingy	Right Thurr	2003	Solo	
8	Aaliyah	Miss You	2003	Solo	
9	Kid Rock	Picture	2003	Solo	
10	Evanescence	Bring me to Life	2003	Group	
1	Usher	Yeah!	2004	Solo	
2	Usher	Burn	2004	Solo	
3	Alicia Keys	If I Ain’t Got You	2004	Solo	
4	Maroon5	This Love	2004	Group	
5	OutKast	The Way You Move	2004	Group	
6	Hoobastank	The Reason	2004	Group	
7	Mario Winans	I Don’t Wanna Know	2004	Solo	
8	OutKast	Hey Ya!	2004	Group	
9	Ciara 	Goodies	2004	Solo	
10	Terror Squad	Lean Back	2004	Group	
1	Mariah Carey	We Belong Together	2005	Solo	
2	Gwen Stefani	Hollaback Girl	2005	Solo	
3	Mario	Let Me Love You	2005	Solo	
4	Kelly Clarkson	Since U Been Gone	2005	Solo	
5	Ciara	1, 2 Step	2005	Solo	
6	Kanye West	Gold Digger	2005	Solo	
7	Green Day	Boulevard of Broken Dreams	2005	Group	
8	50 Cent feat. Olivia	Candy Shop	2005	Solo	
9	The Pussycat Dolls	Don’t Cha	2005	Group	
10	Kelly Clarkson	Behind These Hazel Eyes	2005	Solo	
1	Daniel Powter	Bad Day	2006	Solo	
2	Sean Paul	Temperature	2006	Solo	
3	Nelly Furtado	Promiscuous	2006	Solo	
4	James Blunt	You’re Beautiful	2006	Solo	
5	Shakira	Hips Don’t Lie	2006	Solo	
6	Natasha Bedingfield	Unwritten	2006	Solo	
7	Gnarls Barkley	Crazy	2006	Group	
8	Chamillionaire	Ridin’	2006	Solo	
9	Justin Timberlake	Sexyback	2006	Solo	
10	Beyonce	Check on It	2006	Solo	
1	Beyonce	Irreplaceable	2007	Solo	
2	Rihanna	Umbrella	2007	Solo	
3	Gwen Stefani	The Sweet Escape	2007	Solo	
4	Fergie	Big Girls Don’t Cry	2007	Solo	
5	T-Pain	Buy U A Drank (Shawty Snappin’)	2007	Solo	
6	Carrie Underwood	Before He Cheats	2007	Solo	
7	Plain White T’s	Hey There Delilah	2007	Group	
8	Akon	I Wanna Love You	2007	Solo	
9	Nelly Furtado	Say It Right	2007	Solo	
10	Fergie	Glamorous	2007	Solo	
1	Flo Rida	Low	2008	Solo	
2	Leona Lewis	Bleeding Love	2008	Solo	
3	Alicia Keys	No One	2008	Solo	
4	Lil Wayne	Lollipop	2008	Solo	
5	Timbaland	Apologize	2008	Solo	
6	Jordin Sparks Duet With Chris Brown	No Air	2008	Solo	
7	Sara Bareilles	Love Song	2008	Solo	
8	Usher	Love In This Club	2008	Solo	
9	Chris Brown	With You	2008	Solo	
10	Chris Brown	Forever	2008	Solo	
1	Ke$ha	TiK ToK	2010	Solo	
2	Lady Antebellum	Need You Now	2010	Group	
3	Train	Hey, Soul Sister	2010	Group	
4	Katy Perry	California Gurls	2010	Solo	
5	Usher	OMG	2010	Solo	
6	B.o.B	Airplanes	2010	Group	
7	Eminem	Love The Way You Lie	2010	Solo	
8	Lady Gaga	Bad Romance	2010	Solo	
9	Taio Cruz	Dynamite	2010	Solo	
10	Taio Cruz	Break Your Heart	2010	Solo	
1	Adele	Rolling In The Deep	2011	Solo	
2	LMFAO	Party Rock Anthem	2011	Group	
3	Katy Perry	Firework	2011	Solo	
4	Katy Perry	E.T.	2011	Solo	
5	Pitbull	Give Me Everything	2011	Solo	
6	Bruno Mars	Grenade	2011	Solo	
7	Cee Lo Green	F**K You (Forget You)	2011	Solo	
8	Nicki Minaj	Super Bass	2011	Solo	
9	Maroon 5	Moves Like Jagger	2011	Group	
10	The Black Eyed Peas	Just Can’t Get Enough	2011	Group	
1	Gotye	Somebody That I Used To Know	2012	Solo	
2	Carly Rae Jepsen	Call Me Maybe	2012	Solo	
3	fun. 	We Are Young	2012	Group	
4	Maroon 5	Payphone	2012	Group	
5	Ellie Goulding	Lights	2012	Solo	
6	The Wanted	Glad You Came	2012	Group	
7	Kelly Clarkson	Stronger (What Doesn’t Kill You)	2012	Solo	
8	Rihanna	We Found Love	2012	Solo	
9	Nicki Minaj	Starships	2012	Solo	
10	One Direction	What Makes You Beautiful	2012	Group	
1	Macklemore	Can’t Hold Us	2013	Solo	
2	Baauer 	Harlem Shake	2013	Solo	
3	P!nk 	Just Give Me A Reason	2013	Solo	
4	Robin Thicke	Blurred Lines	2013	Solo	
5	Lorde 	Royals	2013	Solo	
6	 Robin Thicke 	Blurred Lines	2013	Solo	
7	Katy Perry 	Roar	2013	Solo	
8	 Justin Timberlake	Mirrors	2013	Solo	
9	Daft Punk	9.    Daft Punk Featuring Pharrell Williams – Get Lucky	2013	Group	
10	Miley Cyrus	 We Can’t Stop	2013	Solo	
1	Pharrell Williams	Happy	2014	Solo	
2	Katy Perry	Dark Horse	2014	Solo	
3	John Legend	All Of Me	2014	Solo	
4	Iggy Azalea	Fancy	2014	Solo	
5	OneRepublic	Counting Stars	2014	Group	
6	Jason Derulo	Talk Dirty	2014	Solo	
7	MAGIC!	Rude	2014	Group	
8	Meghan Trainor	All About That Bass	2014	Solo	
9	Ariana Grande	Problem	2014	Solo	
10	Sam Smith	Stay With Me	2014	Solo	
1	Mark Ronson	Uptown Funk!	2015	Solo	
2	Ed Sheeran	Thinking Out Loud	2015	Solo	
3	Wiz Khalifa	See You Again	2015	Solo	
4	Fetty Wap	Trap Queen	2015	Solo	
5	Maroon 5	Sugar	2015	Group	
6	Walk The Moon	Shut Up and Dance	2015	Group	
7	Taylor Swift	Blank Space	2015	Solo	
8	Silento	Watch Me	2015	Solo	
9	Weeknd	Earned It (Fifty Shades Of Grey)	2015	Solo	
10	Weeknd	The Hills	2015	Solo	
1	Justin Bieber	Love Yourself	2016	Solo	
2	Justin Bieber	Sorry	2016	Solo	
3	Drake	One Dance	2016	Solo	
4	Rihanna	Work	2016	Solo	
5	twenty one pilots	Stressed Out	2016	Group	
6	Desiigner	Panda	2016	Solo	
7	Adele	Hello	2016	Solo	
8	Chainsmokers	Don’t Let Me Down	2016	Group	
9	Justin Timberlake	Can’t Stop The Feeling!	2016	Solo	
10	Chainsmokers	Closer	2016	Group	
1	Ed Sheeran	Shape Of You	2017	Solo	
2	Luis Fonsi & Daddy Yankee	Despacito	2017	Group	
3	Bruno Mars	That’s What I Like	2017	Solo	
4	Kendrick Lamar	Humble.	2017	Solo	
5	The Chainsmokers	Something Just Like This	2017	Group	
6	Migos	Bad And Boujee	2017	Group	
7	The Chainsmokers	Closer	2017	Group	
8	Sam Hunt	Body Like A Back Road	2017	Solo	
9	Imagine Dragons	Believer	2017	Group	
10	Post Malone	Congratulations	2017	Solo	